title,price,code,description,colors,category,quantity
"Pepper - Paprika, Spanish",92.7,584-49-1181,Seamless bi-directional artificial intelligence,RED,vegetable,83
Water - Spring Water 500ml,17.4,401-78-3036,Organized local adapter,RED,vegetable,44
Calypso - Black Cherry Lemonade,11.7,108-65-9949,Innovative optimal pricing structure,BLUE,fruit,4
Zucchini - Yellow,47.8,216-77-8774,Object-based bottom-line moderator,BLACK,fruit,23
Chocolate Liqueur - Godet White,3.9,627-26-1420,Adaptive 24 hour synergy,RED,vegetable,46
Capon - Whole,30.5,442-01-4718,Proactive methodical system engine,RED,fruit,8
"Yogurt - Blueberry, 175 Gr",33.1,637-30-2781,Programmable encompassing open architecture,MAGENTA,fruit,69
Tea - Herbal Sweet Dreams,80.5,839-07-9032,Universal content-based software,GRAY,vegetable,72
Tomato - Green,14.2,210-72-7960,Centralized needs-based functionalities,MAGENTA,vegetable,67
Ginsing - Fresh,37.4,368-94-6804,Enhanced hybrid framework,MAGENTA,fruit,73
